id,type,name,lat,lon,address,speciality,emergency,icu,operating_theatre,ventilator,x_ray,opening_hours,website,phone
943246318,node,मनमोहन मेमोरियल अस्पताल,27.7179394,85.3112441,,,,,,,,,http://www.mmchospital.org.np,
1417852753,node,Red Cross,27.5840061,85.5134905,,,,,,,,,,
1497172311,node,सैनिक अस्पताल,27.7114391,85.2913209,,,yes,,,,,,,
1767445004,node,Krishna Prasad Hospital,27.6296267,85.5237477,,,,,,,,,,
1787063191,node,ग्लोबल अस्पताल,27.667072,85.3330204,,,,,,,,24/7,,
1891343745,node,धन्वन्तरी आयुर्वेद अस्पताल तथा अनुसन्धान केन्द्र,27.7324263,85.3443527,,,,,,,,,,
1898593305,node,आरोग्य आश्रम,27.7177828,85.3304899,Thirbam Sadak,,,,,,,,,014412075
1985458243,node,CIWEC Hospital,27.7202714,85.3178811,British-Indian Embassy Rd,,,,,,,,https://www.ciwec-clinic.com/,"977-1-4424111, 4435232"
2027886569,node,चिरायु राष्ट्रिय अस्पताल तथा चिकित्सा संस्थान,27.6922104,85.3301616,,,yes,,,,,,,
2027895182,node,इन्फेरलिटी सेन्टर,27.6903846,85.32902,,,,,,,,,,
2077258831,node,सुब्बा मेडिकल सेन्टर प्रा. लि,27.7378197,85.3230411,,,,,,,,,,
2121884151,node,कुन्फेन तिब्बती चिकित्सा,27.713065,85.3092366,,,no,,,,,,,
2122386462,node,यती अस्पताल,27.7024512,85.2824017,,,yes,,,,,,,
2153239616,node,Panauti Hospital,27.5923956,85.5169801,,,,,,,,,,
2164877858,node,सार्वजनिक अस्पताल,27.6656582,85.3054073,,,yes,,,,,,,
2165424701,node,नेपाल पशु अस्पताल,27.6948215,85.3112844,,,,,,,,,,
2165424708,node,ब्लु क्रस अस्पताल,27.6937147,85.3152583,,,,,,,,,https://www.bluecross.com.np/,014262027
2176750961,node,,27.6913755,85.2985867,,,,,,,,,,
2218658273,node,दिव्या संजीवनी अस्पताल,27.7066149,85.2867623,,,,,,,,,,
2236622338,node,भारोसा अस्पताल,27.6943238,85.3370557,,,,,,,,,,
2282086109,node,नेपाल डायग्नोस्टिक सेन्टर प्रा. लि.,27.7010578,85.3116341,,,,no,no,yes,yes,,,
2352666875,node,Buddha Minimal Access International (MAI) Center,27.6980033,85.304213,Guna Kam Dev Marga,,,no,no,no,no,,,
2425005466,node,नेपाल प्रहरी अस्पताल,27.7310242,85.3235715,,,,,,,,,,
2476338392,node,,27.7297316,85.3810864,,,,,,,,,,
2684770935,node,मोबाइल पशु चिकित्सा अस्पताल,27.6737417,85.3117739,,,,,,,,,,
2857869822,node,तारिनी स्वास्थ्य केन्द्र,27.7049515,85.3084222,,,,,,,,,,
3047240296,node,नेत्रधाम आँखा सेवा केन्द्र,27.6873782,85.3164579,,,,,,,,,,015551345
3074585332,node,,27.7174587,85.3475795,,,,,,,,,,
3640853145,node,नेपाल न्यासनल अस्पताल,27.6947253,85.2821685,,,,,,,,,,
4132097725,node,सिटी अस्पताल,27.6909765,85.3246923,,,,,,,,,,
4132510093,node,काठमाडौं मेडिकल कलेज,27.7015906,85.3275905,,,,,,,,24/7,,
4225138790,node,Bhaktapur Hospital Emergency Block,27.6720774,85.4220862,Dudhpati,,,,,,,,,
4243043791,node,मध्यपुर अस्पताल,27.6725806,85.3879984,,,,,,,,,,
4264064753,node,Family Hospital,27.617975,85.3196166,,,,,,,,,,
4393701590,node,संजीवनी हेल्थ केयर सेन्टर,27.6755499,85.3520244,Arniko Raj Marga,,,,,,,24/7,,+9779841245023
4532457890,node,,27.6307063,85.5353208,Budol M.,,,,,,,,,011661580
4537066892,node,चाइना हस्पिटल (पी) लिमिटेड,27.7204629,85.3622164,,,,,,,,Mo-Su 09:00-17:00,,01-4482275
4579894969,node,निदान अस्पताल प्रा.लि.,27.6773339,85.3217511,,,,,,,,,http://www.nidanhospital.com,977-1-5531333
4592039989,node,,27.6903149,85.252015,Tribhuvan Rajpath,,,,,,,24/7,,014315224
4599786089,node,अल्का अस्पताल प्रा. लि.,27.6698644,85.3096819,Ekata Tole,,,,,,,24/7,,015555555
4611193689,node,कपन अस्पताल,27.7347534,85.3602424,Chunikhel Marg,,,,,,,,https://www.karunahospital.com.np/,015128201
4615993995,node,पीपुल्स डेंटल कलेज र अस्पताल,27.7190481,85.3090847,Ropeway Sadak,,,,,,,,,
4648504195,node,ओम समाज अस्पताल,27.6863982,85.2591226,,,,,,,,,,
4748269321,node,स्वाकोन अन्तर्राष्ट्रिय अस्पताल (काठमाडौं),27.7042102,85.3364085,रुद्रमती मार्ग,,,,,,,24/7,https://www.swaconhospital.com,+977 01 4462960;+977 01 4578105;+977 01 4570588
4765971343,node,,27.6213032,85.3283959,Dhapakhel,,,,,,,Mo-Fr 10:00-17:00,https://www.cpnepal.org/,015573966
4795380222,node,प्रस्तावित इशान महिला तथा बालबालिका अस्पताल,27.7445649,85.3335285,,,,,,,,,,
4795380223,node,पेडिअट्रिक्स,27.7365875,85.3306265,,,,,,,,,,
4810801975,node,ग्रान्डी सिटी अस्पताल,27.711016,85.3147438,,,,,,,,,,
4928572762,node,हाम्रो सहयात्री अस्पताल,27.6760051,85.3535501,Thimi-Biruwa Road,,,,,,,,,
4933494321,node,Anandaban Training Center,27.5768323,85.3135768,,,,,,,,,,
5043184624,node,आयुर्वेदिक,27.6684119,85.2752829,,,,,,,,,,
5068560173,node,हिमालय उपचार केन्द्र,27.7291945,85.3706839,,,,,,,,,,
5068574573,node,नेपाल मनमिन अस्पताल,27.6630188,85.3336444,,,,,,,,,,
5239936321,node,मानसिक शरण,27.6830328,85.3115909,,,,,,,,,,
5308645122,node,,27.6891653,85.3324587,Madan Bhandari Path,,,,,,,Su-Fr 10:00-19:00,http://let-mein.com,0147801210
5308740822,node,,27.6045871,85.3610239,,,,,,,,24/7,,
5358434921,node,बिनायक अस्पताल,27.7350965,85.3130213,,,,,,,,,,
5568194823,node,टेकु अस्पताल,27.6946731,85.3064884,,,,,,,,,,
5715696859,node,सुरुची होम केयर,27.6937636,85.3377249,,,,,,,,,,
5961692307,node,दक्षिण एसियाली पोलिक्लिनिक तथा निदान केन्द्र,27.7390611,85.3261844,,,,,,,,,,
5961692317,node,मरिई स्टोप्स नेपाल,27.7348093,85.3174374,,,,,,,,,,
